arrival_date,arrival_time,depart_date,depart_time,price,seats,tclass,title,scrape_datetime,arrival_datetime,depart_datetime
2020-01-08 00:00:00.000000,20:29:00,2020-01-08 00:00:00.000000,17:10:00,170000.0,99,eksekutif (Subclass H),mutiara selatan 104,2020-01-08 00:47:36.598803,2020-01-08 20:29:00.000000,2020-01-08 17:10:00.000000
2020-01-08 00:00:00.000000,20:29:00,2020-01-08 00:00:00.000000,17:10:00,170000.0,5,eksekutif (Subclass J),mutiara selatan 104,2020-01-08 00:47:36.598803,2020-01-08 20:29:00.000000,2020-01-08 17:10:00.000000
2020-01-08 00:00:00.000000,18:30:00,2020-01-08 00:00:00.000000,15:40:00,175000.0,99,eksekutif (Subclass A),argo parahyangan excellence 44,2020-01-08 00:47:36.598803,2020-01-08 18:30:00.000000,2020-01-08 15:40:00.000000
2020-01-08 00:00:00.000000,12:13:00,2020-01-08 00:00:00.000000,08:55:00,290000.0,4,eksekutif (Subclass I),argo parahyangan priority 40P,2020-01-08 00:47:36.598803,2020-01-08 12:13:00.000000,2020-01-08 08:55:00.000000
2020-01-08 00:00:00.000000,18:30:00,2020-01-08 00:00:00.000000,15:40:00,290000.0,2,eksekutif (Subclass I),argo parahyangan priority 44P,2020-01-08 00:47:36.598803,2020-01-08 18:30:00.000000,2020-01-08 15:40:00.000000
2020-01-09 00:00:00.000000,01:27:00,2020-01-08 00:00:00.000000,22:05:00,290000.0,99,eksekutif (Subclass I),argo parahyangan priority 50P,2020-01-08 00:47:36.598803,2020-01-09 01:27:00.000000,2020-01-08 22:05:00.000000
2020-01-08 00:00:00.000000,18:30:00,2020-01-08 00:00:00.000000,15:40:00,,0,ekonomi (Subclass S),argo parahyangan excellence 44,2020-01-08 00:47:36.598803,2020-01-08 18:30:00.000000,2020-01-08 15:40:00.000000
2020-01-08 00:00:00.000000,08:46:00,2020-01-08 00:00:00.000000,05:30:00,,0,ekonomi (Subclass Q),argo parahyangan 36,2020-01-08 00:47:36.598803,2020-01-08 08:46:00.000000,2020-01-08 05:30:00.000000
2020-01-08 00:00:00.000000,09:49:00,2020-01-08 00:00:00.000000,06:15:00,,0,ekonomi (Subclass Q),argo parahyangan 38,2020-01-08 00:47:36.598803,2020-01-08 09:49:00.000000,2020-01-08 06:15:00.000000
2020-01-08 00:00:00.000000,12:13:00,2020-01-08 00:00:00.000000,08:55:00,,0,ekonomi (Subclass Q),argo parahyangan 40,2020-01-08 00:47:36.598803,2020-01-08 12:13:00.000000,2020-01-08 08:55:00.000000
2020-01-08 00:00:00.000000,14:09:00,2020-01-08 00:00:00.000000,10:45:00,,0,ekonomi (Subclass Q),argo parahyangan 42,2020-01-08 00:47:36.598803,2020-01-08 14:09:00.000000,2020-01-08 10:45:00.000000
2020-01-08 00:00:00.000000,16:33:00,2020-01-08 00:00:00.000000,13:10:00,,0,ekonomi (Subclass Q),argo parahyangan 54,2020-01-08 00:47:36.598803,2020-01-08 16:33:00.000000,2020-01-08 13:10:00.000000
2020-01-08 00:00:00.000000,17:38:00,2020-01-08 00:00:00.000000,14:25:00,,0,ekonomi (Subclass Q),argo parahyangan 68F,2020-01-08 00:47:36.598803,2020-01-08 17:38:00.000000,2020-01-08 14:25:00.000000
2020-01-08 00:00:00.000000,18:30:00,2020-01-08 00:00:00.000000,15:40:00,,0,ekonomi (Subclass Q),argo parahyangan excellence 44,2020-01-08 00:47:36.598803,2020-01-08 18:30:00.000000,2020-01-08 15:40:00.000000
2020-01-08 00:00:00.000000,20:59:00,2020-01-08 00:00:00.000000,17:45:00,,0,ekonomi (Subclass Q),argo parahyangan 46,2020-01-08 00:47:36.598803,2020-01-08 20:59:00.000000,2020-01-08 17:45:00.000000
2020-01-08 00:00:00.000000,22:08:00,2020-01-08 00:00:00.000000,18:45:00,,0,ekonomi (Subclass Q),argo parahyangan 48,2020-01-08 00:47:36.598803,2020-01-08 22:08:00.000000,2020-01-08 18:45:00.000000
2020-01-09 00:00:00.000000,01:27:00,2020-01-08 00:00:00.000000,22:05:00,,0,ekonomi (Subclass Q),argo parahyangan 50,2020-01-08 00:47:36.598803,2020-01-09 01:27:00.000000,2020-01-08 22:05:00.000000
2020-01-09 00:00:00.000000,02:05:00,2020-01-08 00:00:00.000000,22:55:00,,0,ekonomi (Subclass Q),argo parahyangan 52,2020-01-08 00:47:36.598803,2020-01-09 02:05:00.000000,2020-01-08 22:55:00.000000
2020-01-09 00:00:00.000000,02:40:00,2020-01-08 00:00:00.000000,23:30:00,,0,ekonomi (Subclass Q),argo parahyangan 70F,2020-01-08 00:47:36.598803,2020-01-09 02:40:00.000000,2020-01-08 23:30:00.000000
2020-01-08 00:00:00.000000,08:46:00,2020-01-08 00:00:00.000000,05:30:00,,0,ekonomi (Subclass P),argo parahyangan 36,2020-01-08 00:47:36.598803,2020-01-08 08:46:00.000000,2020-01-08 05:30:00.000000
2020-01-08 00:00:00.000000,09:49:00,2020-01-08 00:00:00.000000,06:15:00,,0,ekonomi (Subclass P),argo parahyangan 38,2020-01-08 00:47:36.598803,2020-01-08 09:49:00.000000,2020-01-08 06:15:00.000000
2020-01-08 00:00:00.000000,12:13:00,2020-01-08 00:00:00.000000,08:55:00,,0,ekonomi (Subclass P),argo parahyangan 40,2020-01-08 00:47:36.598803,2020-01-08 12:13:00.000000,2020-01-08 08:55:00.000000
2020-01-08 00:00:00.000000,14:09:00,2020-01-08 00:00:00.000000,10:45:00,,0,ekonomi (Subclass P),argo parahyangan 42,2020-01-08 00:47:36.598803,2020-01-08 14:09:00.000000,2020-01-08 10:45:00.000000
2020-01-08 00:00:00.000000,16:33:00,2020-01-08 00:00:00.000000,13:10:00,,0,ekonomi (Subclass P),argo parahyangan 54,2020-01-08 00:47:36.598803,2020-01-08 16:33:00.000000,2020-01-08 13:10:00.000000
